Date,Affinity Plus,Rocket Mortgage,Blaze Credit Union,Magnifi
10/22/2024,6.500%,6.5%,6.875%,6.375%
10/24/2024,6.500%,6.625%,6.875%,6.500%
11/06/2024,6.875%,6.625%,7.125%,6.875%
11/09/2024,6.625%,6.25%,7.000%,6.625%
11/12/2024,6.625%,6.75%,7.000%,6.625%
11/13/2024,6.625%,6.5%,7.000%,6.625%
11/14/2024,6.625%,6.5%,7.000%,6.625%
11/15/2024,6.625%,6.625%,7.125%,6.875%
11/16/2024,6.625%,6.625%,7.125%,6.875%
11/18/2024,6.625%,6.75%,7.125%,6.875%
11/19/2024,6.625%,6.75%,7.000%,6.625%
11/20/2024,6.625%,6.625%,7.000%,6.875%
11/21/2024,6.625%,6.625%,7.000%,6.875%
11/23/2024,6.625%,6.625%,7.000%,6.875%
12/01/2024,6.625%,6.375%,6.875%,6.625%
12/02/2024,6.625%,6.5%,6.875%,6.500%
12/04/2024,6.625%,6.5%,6.875%,6.500%
12/05/2024,6.625%,6.375%,6.875%,6.500%
12/06/2024,6.375%,6.375%,6.625%,6.500%
12/07/2024,6.375%,6.375%,6.625%,6.500%
12/08/2024,6.375%,6.375%,6.625%,6.500%
12/09/2024,6.375%,6.25%,6.625%,6.500%
12/10/2024,6.375%,6.375%,6.875%,6.375%
12/11/2024,6.375%,6.25%,6.625%,6.375%
12/12/2024,6.375%,6.375%,6.875%,6.500%
12/13/2024,6.875%,6.5%,7.000%,6.625%
12/15/2024,6.875%,6.5%,7.000%,6.625%
12/16/2024,6.875%,6.5%,7.000%,6.625%
12/17/2024,6.875%,6.5%,7.000%,6.625%
12/18/2024,6.875%,6.625%,6.875%,6.625%
12/19/2024,6.875%,6.75%,7.000%,6.625%
12/20/2024,6.875%,6.875%,6.875%,6.625%
12/21/2024,6.875%,6.875%,6.875%,6.625%
12/23/2024,6.875%,6.75%,6.875%,6.875%
12/24/2024,6.875%,6.875%,7.000%,6.875%
12/26/2024,6.875%,6.875%,7.000%,6.875%
12/28/2024,6.875%,6.875%,7.000%,6.875%
12/30/2024,6.875%,6.75%,6.875%,6.875%
12/31/2024,6.875%,6.75%,6.875%,6.875%
01/01/2025,6.875%,6.75%,6.875%,6.875%
01/02/2025,6.875%,6.75%,6.875%,6.750%
01/03/2025,6.875%,6.75%,6.875%,6.875%
01/05/2025,6.875%,6.75%,6.875%,6.875%
01/06/2025,6.875%,6.75%,7.000%,6.875%
01/07/2025,6.875%,6.75%,7.000%,6.875%
01/08/2025,6.875%,6.875%,7.000%,6.875%
01/09/2025,6.875%,6.875%,7.000%,6.875%
01/10/2025,6.875%,6.99%,7.125%,7.000%
01/13/2025,6.875%,6.99%,7.125%,7.000%
01/14/2025,6.875%,6.99%,7.125%,7.125%
01/16/2025,6.875%,6.875%,7.000%,6.875%
01/17/2025,6.875%,6.75%,6.875%,6.875%
01/19/2025,6.875%,6.75%,6.875%,6.875%
01/21/2025,6.875%,6.75%,6.875%,6.875%
01/22/2025,6.875%,6.375%,6.875%,6.875%
01/24/2025,6.875%,6.875%,7.000%,6.875%
01/26/2025,6.875%,6.875%,7.000%,6.875%
01/27/2025,6.875%,6.75%,6.875%,6.875%
01/28/2025,6.875%,6.75%,6.875%,6.875%
01/29/2025,6.875%,6.625%,6.875%,6.875%
02/01/2025,6.625%,6.625%,6.875%,6.875%
02/03/2025,6.625%,6.75%,6.875%,6.875%
02/04/2025,6.625%,6.75%,6.875%,6.875%
02/06/2025,6.625%,6.625%,6.625%,6.750%
02/09/2025,6.625%,6.75%,6.875%,6.750%
02/10/2025,6.625%,6.75%,6.875%,6.750%
02/11/2025,6.625%,6.75%,6.875%,6.750%
02/12/2025,6.750%,6.875%,6.875%,6.875%
02/14/2025,6.625%,6.75%,6.625%,6.375%
02/20/2025,6.625%,6.75%,6.750%,6.500%
02/24/2025,6.625%,6.625%,6.625%,6.625%
02/25/2025,6.625%,6.625%,6.500%,6.500%
02/27/2025,6.500%,6.5%,6.500%,6.500%
02/28/2025,6.500%,6.375%,6.500%,6.500%
03/01/2025,6.500%,6.375%,6.500%,6.500%
03/02/2025,6.500%,6.375%,6.500%,6.500%
03/03/2025,6.500%,6.5%,6.500%,6.375%
03/04/2025,6.375%,6.375%,6.375%,6.500%
03/05/2025,6.375%,6.375%,6.500%,6.500%
03/06/2025,6.375%,6.5%,6.625%,6.500%
03/08/2025,6.375%,6.5%,6.625%,6.375%
03/10/2025,6.375%,6.5%,6.625%,6.375%
03/11/2025,6.375%,6.5%,6.500%,6.500%
03/12/2025,6.500%,6.625%,6.625%,6.500%
03/13/2025,6.500%,6.625%,6.625%,6.500%
03/14/2025,6.500%,6.625%,6.625%,6.500%
03/15/2025,6.500%,6.625%,6.625%,6.500%
03/16/2025,6.500%,6.625%,6.625%,6.500%
03/17/2025,6.500%,6.625%,6.625%,6.500%
03/18/2025,6.500%,6.625%,6.625%,6.500%
03/21/2025,6.500%,6.5%,6.500%,6.375%
03/23/2025,6.500%,6.5%,6.500%,6.375%
03/24/2025,6.500%,6.625%,6.625%,6.500%
03/26/2025,6.500%,6.25%,6.625%,6.500%
03/27/2025,6.500%,6.625%,6.625%,6.500%
03/28/2025,6.500%,6.625%,6.625%,6.500%
03/30/2025,6.500%,6.625%,6.625%,6.500%
03/31/2025,6.500%,6.5%,6.500%,6.500%
04/01/2025,6.500%,6.5%,6.500%,6.500%
04/02/2025,6.500%,6.5%,6.500%,6.375%
04/03/2025,6.250%,6.375%,6.375%,6.375%
